asset_id,symbol,category,path_pattern,resolution_status,resolution_failure_reason,d_file_path,raw_header,timestamp_column,close_column,schema_status,schema_reason_code,raw_row_count,canonical_row_count,duplicate_identical_count,duplicate_conflict_count,source_sorted_ascending,canonical_first_timestamp,canonical_last_timestamp
AAPL,AAPL,Equities I CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Equities I CFD/AAPL/D/AAPL_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,5330,5330,0,0,true,2007-04-27,2026-02-20
AMZN,AMZN,Equities I CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Equities I CFD/AMZN/D/AMZN_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1714,1714,0,0,true,2019-03-04,2026-02-20
BABA,BABA,Equities I CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Equities I CFD/BABA/D/BABA_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1714,1714,0,0,true,2019-03-04,2026-02-20
BAC,BAC,Equities I CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Equities I CFD/BAC/D/BAC_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1714,1714,0,0,true,2019-03-04,2026-02-20
GOOG,GOOG,Equities I CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Equities I CFD/GOOG/D/GOOG_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1714,1714,0,0,true,2019-03-04,2026-02-20
META,META,Equities I CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Equities I CFD/META/D/META_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1714,1714,0,0,true,2019-03-04,2026-02-20
MSFT,MSFT,Equities I CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Equities I CFD/MSFT/D/MSFT_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,5323,5323,0,0,true,2007-04-25,2026-02-20
NFLX,NFLX,Equities I CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Equities I CFD/NFLX/D/NFLX_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1714,1714,0,0,true,2019-03-04,2026-02-20
NVDA,NVDA,Equities I CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Equities I CFD/NVDA/D/NVDA_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1323,1323,0,0,true,2020-11-12,2026-02-20
PFE,PFE,Equities I CFD,category_symbol_d,RESOLVED,,data/FTMO Data/Equities I CFD/PFE/D/PFE_data.csv,"[""time"", ""open"", ""high"", ""low"", ""close"", ""volume"", ""spread""]",time,close,ADMISSIBLE,,1714,1714,0,0,true,2019-03-04,2026-02-20
