asset_id,symbol,category,path_pattern,d_file_path,raw_row_count,screened_row_count,first_timestamp,last_timestamp
EURAUD,EURAUD,Forex,forex_base_symbol_d,data/FTMO Data/Forex/EUR/EURAUD/D/EURAUD_data.csv,5622,5622,2004-06-17,2026-02-23
EURCAD,EURCAD,Forex,forex_base_symbol_d,data/FTMO Data/Forex/EUR/EURCAD/D/EURCAD_data.csv,6576,6576,2000-03-30,2026-02-23
EURCHF,EURCHF,Forex,forex_base_symbol_d,data/FTMO Data/Forex/EUR/EURCHF/D/EURCHF_data.csv,6720,6720,2000-03-29,2026-02-23
EURGBP,EURGBP,Forex,forex_base_symbol_d,data/FTMO Data/Forex/EUR/EURGBP/D/EURGBP_data.csv,6726,6726,2000-03-29,2026-02-23
EURJPY,EURJPY,Forex,forex_base_symbol_d,data/FTMO Data/Forex/EUR/EURJPY/D/EURJPY_data.csv,6604,6604,2000-03-29,2026-02-23
EURNZD,EURNZD,Forex,forex_base_symbol_d,data/FTMO Data/Forex/EUR/EURNZD/D/EURNZD_data.csv,6557,6557,2000-03-30,2026-02-23
EURUSD,EURUSD,Forex,forex_base_symbol_d,data/FTMO Data/Forex/EUR/EURUSD/D/EURUSD_data.csv,6731,6731,2000-03-29,2026-02-23
GBPAUD,GBPAUD,Forex,forex_base_symbol_d,data/FTMO Data/Forex/GBP/GBPAUD/D/GBPAUD_data.csv,4784,4784,2007-08-21,2026-02-23
GBPCAD,GBPCAD,Forex,forex_base_symbol_d,data/FTMO Data/Forex/GBP/GBPCAD/D/GBPCAD_data.csv,4788,4788,2007-08-21,2026-02-23
GBPCHF,GBPCHF,Forex,forex_base_symbol_d,data/FTMO Data/Forex/GBP/GBPCHF/D/GBPCHF_data.csv,6686,6686,2000-03-29,2026-02-23
GBPJPY,GBPJPY,Forex,forex_base_symbol_d,data/FTMO Data/Forex/GBP/GBPJPY/D/GBPJPY_data.csv,6732,6732,2000-03-29,2026-02-23
GBPNZD,GBPNZD,Forex,forex_base_symbol_d,data/FTMO Data/Forex/GBP/GBPNZD/D/GBPNZD_data.csv,3967,3967,2010-05-10,2026-02-23
GBPUSD,GBPUSD,Forex,forex_base_symbol_d,data/FTMO Data/Forex/GBP/GBPUSD/D/GBPUSD_data.csv,6730,6730,2000-03-29,2026-02-23
NZDCAD,NZDCAD,Forex,forex_base_symbol_d,data/FTMO Data/Forex/NZD/NZDCAD/D/NZDCAD_data.csv,4776,4776,2007-08-20,2026-02-23
NZDCHF,NZDCHF,Forex,forex_base_symbol_d,data/FTMO Data/Forex/NZD/NZDCHF/D/NZDCHF_data.csv,4795,4795,2007-08-21,2026-02-23
NZDJPY,NZDJPY,Forex,forex_base_symbol_d,data/FTMO Data/Forex/NZD/NZDJPY/D/NZDJPY_data.csv,4939,4939,2007-02-12,2026-02-23
NZDUSD,NZDUSD,Forex,forex_base_symbol_d,data/FTMO Data/Forex/NZD/NZDUSD/D/NZDUSD_data.csv,6730,6730,2000-03-29,2026-02-23
USDCAD,USDCAD,Forex,forex_base_symbol_d,data/FTMO Data/Forex/USD/USDCAD/D/USDCAD_data.csv,6732,6732,2000-03-29,2026-02-23
USDCHF,USDCHF,Forex,forex_base_symbol_d,data/FTMO Data/Forex/USD/USDCHF/D/USDCHF_data.csv,6730,6730,2000-03-29,2026-02-23
USDJPY,USDJPY,Forex,forex_base_symbol_d,data/FTMO Data/Forex/USD/USDJPY/D/USDJPY_data.csv,6730,6730,2000-03-29,2026-02-23
XAGAUD,XAGAUD,Metals CFD,category_symbol_d,data/FTMO Data/Metals CFD/XAGAUD/D/XAGAUD_data.csv,2406,2406,2016-10-24,2026-02-23
XAGEUR,XAGEUR,Metals CFD,category_symbol_d,data/FTMO Data/Metals CFD/XAGEUR/D/XAGEUR_data.csv,2198,2198,2017-08-14,2026-02-23
XAGUSD,XAGUSD,Metals CFD,category_symbol_d,data/FTMO Data/Metals CFD/XAGUSD/D/XAGUSD_data.csv,4464,4464,2008-11-07,2026-02-23
XAUAUD,XAUAUD,Metals CFD,category_symbol_d,data/FTMO Data/Metals CFD/XAUAUD/D/XAUAUD_data.csv,2409,2409,2016-10-21,2026-02-23
XAUEUR,XAUEUR,Metals CFD,category_symbol_d,data/FTMO Data/Metals CFD/XAUEUR/D/XAUEUR_data.csv,2411,2411,2016-10-19,2026-02-23
XAUUSD,XAUUSD,Metals CFD,category_symbol_d,data/FTMO Data/Metals CFD/XAUUSD/D/XAUUSD_data.csv,5583,5583,2004-06-11,2026-02-23
XPDUSD,XPDUSD,Metals CFD,category_symbol_d,data/FTMO Data/Metals CFD/XPDUSD/D/XPDUSD_data.csv,2762,2762,2015-01-07,2026-02-23
XPTUSD,XPTUSD,Metals CFD,category_symbol_d,data/FTMO Data/Metals CFD/XPTUSD/D/XPTUSD_data.csv,2775,2775,2015-01-07,2026-02-23
