lbw,asset_id,state,rows_written,last_timestamp,retry_count,fallback_count,started_at,finished_at,output_path,error_message
63,COCOA.c,completed,776,2026-02-20T00:00:00,0,0,2026-04-24T20:00:57Z,2026-04-24T20:00:57Z,artifacts/features/cpd/lbw_63/COCOA.c_cpd.csv,
126,COCOA.c,completed,776,2026-02-20T00:00:00,1,0,2026-04-25T21:55:09Z,2026-04-25T21:55:09Z,artifacts/features/cpd/lbw_126/COCOA.c_cpd.csv,
252,COCOA.c,completed,776,2026-02-20T00:00:00,0,0,2026-04-27T11:20:52Z,2026-04-27T11:20:52Z,artifacts/features/cpd/lbw_252/COCOA.c_cpd.csv,
10,COFFEE.c,completed,776,2026-02-20T00:00:00,3,0,2026-04-23T08:09:22Z,2026-04-23T08:13:22Z,artifacts/features/cpd/lbw_10/COFFEE.c_cpd.csv,
21,COFFEE.c,completed,776,2026-02-20T00:00:00,0,0,2026-04-23T22:42:48Z,2026-04-23T22:46:41Z,artifacts/features/cpd/lbw_21/COFFEE.c_cpd.csv,
63,COFFEE.c,completed,776,2026-02-20T00:00:00,0,0,2026-04-24T20:00:57Z,2026-04-24T20:00:57Z,artifacts/features/cpd/lbw_63/COFFEE.c_cpd.csv,
126,COFFEE.c,completed,776,2026-02-20T00:00:00,1,0,2026-04-25T21:55:09Z,2026-04-25T21:55:09Z,artifacts/features/cpd/lbw_126/COFFEE.c_cpd.csv,
252,COFFEE.c,completed,776,2026-02-20T00:00:00,0,0,2026-04-27T11:20:52Z,2026-04-27T11:20:52Z,artifacts/features/cpd/lbw_252/COFFEE.c_cpd.csv,
10,CORN.c,completed,728,2026-02-23T00:00:00,0,0,2026-04-23T08:13:33Z,2026-04-23T08:17:24Z,artifacts/features/cpd/lbw_10/CORN.c_cpd.csv,
21,CORN.c,completed,728,2026-02-23T00:00:00,3,0,2026-04-23T22:46:50Z,2026-04-23T22:50:26Z,artifacts/features/cpd/lbw_21/CORN.c_cpd.csv,
63,CORN.c,completed,728,2026-02-23T00:00:00,0,0,2026-04-24T20:01:01Z,2026-04-24T20:01:01Z,artifacts/features/cpd/lbw_63/CORN.c_cpd.csv,
126,CORN.c,completed,728,2026-02-23T00:00:00,0,0,2026-04-25T21:55:12Z,2026-04-25T21:55:12Z,artifacts/features/cpd/lbw_126/CORN.c_cpd.csv,
252,CORN.c,completed,728,2026-02-23T00:00:00,1,0,2026-04-27T11:20:52Z,2026-04-27T11:20:52Z,artifacts/features/cpd/lbw_252/CORN.c_cpd.csv,
10,DASHUSD,completed,1918,2026-02-23T00:00:00,9,0,2026-04-23T08:13:33Z,2026-04-23T08:23:40Z,artifacts/features/cpd/lbw_10/DASHUSD_cpd.csv,
21,DASHUSD,completed,1918,2026-02-23T00:00:00,3,2,2026-04-23T22:50:36Z,2026-04-23T23:00:06Z,artifacts/features/cpd/lbw_21/DASHUSD_cpd.csv,
63,DASHUSD,completed,1918,2026-02-23T00:00:00,0,0,2026-04-24T20:01:01Z,2026-04-24T20:01:01Z,artifacts/features/cpd/lbw_63/DASHUSD_cpd.csv,
126,DASHUSD,completed,1918,2026-02-23T00:00:00,2,0,2026-04-25T21:55:12Z,2026-04-25T21:55:12Z,artifacts/features/cpd/lbw_126/DASHUSD_cpd.csv,
252,DASHUSD,completed,1918,2026-02-23T00:00:00,1,0,2026-04-27T11:20:55Z,2026-04-27T11:20:55Z,artifacts/features/cpd/lbw_252/DASHUSD_cpd.csv,
10,DBKGn,completed,1731,2026-02-20T00:00:00,7,0,2026-04-23T08:17:33Z,2026-04-23T08:26:37Z,artifacts/features/cpd/lbw_10/DBKGn_cpd.csv,
21,DBKGn,completed,1731,2026-02-20T00:00:00,3,0,2026-04-23T23:00:25Z,2026-04-23T23:08:58Z,artifacts/features/cpd/lbw_21/DBKGn_cpd.csv,
63,DBKGn,completed,1731,2026-02-20T00:00:00,0,0,2026-04-24T20:01:04Z,2026-04-24T20:01:04Z,artifacts/features/cpd/lbw_63/DBKGn_cpd.csv,
126,DBKGn,completed,1731,2026-02-20T00:00:00,0,0,2026-04-25T21:55:15Z,2026-04-25T21:55:15Z,artifacts/features/cpd/lbw_126/DBKGn_cpd.csv,
252,DBKGn,completed,1731,2026-02-20T00:00:00,0,0,2026-04-27T11:20:55Z,2026-04-27T11:20:55Z,artifacts/features/cpd/lbw_252/DBKGn_cpd.csv,
10,DOGEUSD,completed,1623,2026-02-23T00:00:00,3,0,2026-04-23T08:24:00Z,2026-04-23T08:32:46Z,artifacts/features/cpd/lbw_10/DOGEUSD_cpd.csv,
21,DOGEUSD,completed,1623,2026-02-23T00:00:00,4,2,2026-04-23T23:09:17Z,2026-04-23T23:17:15Z,artifacts/features/cpd/lbw_21/DOGEUSD_cpd.csv,
63,DOGEUSD,completed,1623,2026-02-23T00:00:00,0,0,2026-04-24T20:01:04Z,2026-04-24T20:01:04Z,artifacts/features/cpd/lbw_63/DOGEUSD_cpd.csv,
